Fecha;Valor UF
09-dic-21;30,882.24
08-dic-21;30,868.94
07-dic-21;30,855.66
06-dic-21;30,842.37
05-dic-21;30,829.10
04-dic-21;30,815.83
03-dic-21;30,802.56
02-dic-21;30,789.30
01-dic-21;30,776.05
30-nov-21;30,762.80
29-nov-21;30,749.56
28-nov-21;30,736.33
27-nov-21;30,723.10
26-nov-21;30,709.87
25-nov-21;30,696.65
24-nov-21;30,683.44
23-nov-21;30,670.23
22-nov-21;30,657.03
21-nov-21;30,643.83
20-nov-21;30,630.64
19-nov-21;30,617.46
18-nov-21;30,604.28
17-nov-21;30,591.10
16-nov-21;30,577.94
15-nov-21;30,564.77
14-nov-21;30,551.62
13-nov-21;30,538.47
12-nov-21;30,525.32
11-nov-21;30,512.18
10-nov-21;30,499.05
09-nov-21;30,485.92
08-nov-21;30,474.19
07-nov-21;30,462.47
06-nov-21;30,450.75
05-nov-21;30,439.04
04-nov-21;30,427.33
03-nov-21;30,415.62
02-nov-21;30,403.92
01-nov-21;30,392.22
31-oct-21;30,380.53
30-oct-21;30,368.84
29-oct-21;30,357.16
28-oct-21;30,345.48
27-oct-21;30,333.80
